Time/s	Counts
0	0
1	0
2	1
3	2
4	3
5	0
6	1
7	0
8	0
9	0
10	0
11	0
12	1
13	0
14	1
15	1
16	3
17	2
18	1
19	0
20	1
21	0
22	0
23	2
24	0
25	0
26	0
27	1
28	0
29	1
30	1
31	2
32	2
33	0
34	1
35	0
36	0
37	3
38	1
39	1
40	2
41	0
42	0
43	0
44	0
45	0
46	2
47	0
48	0
49	0
50	3
51	1
52	0
53	2
54	0
55	2
56	2
57	2
58	0
59	0
60	1
61	0
62	1
63	1
64	0
65	4
66	0
67	0
68	0
69	1
70	0
71	0
72	0
73	0
74	3
75	0
76	0
77	1
78	0
79	2
80	2
81	0
82	3
83	2
84	0
85	0
86	0
87	1
88	0
89	2
90	1
91	1
92	0
93	0
94	1
95	0
96	3
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	2
105	3
106	0
107	1
108	0
109	0
110	0
111	1
112	0
113	1
114	0
115	0
116	0
117	0
118	2
119	0
120	1
121	0
122	1
123	1
124	1
125	3
126	0
127	0
128	1
129	2
130	1
131	2
132	0
133	3
134	2
135	1
136	0
137	2
138	1
139	1
140	0
141	1
142	2
143	2
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	3
154	3
155	1
156	1
157	0
158	0
159	0
160	2
161	0
162	2
163	0
164	1
165	0
166	0
167	7
168	2
169	3
170	1
171	1
172	0
173	0
174	0
175	0
176	2
177	0
178	5
179	2
180	0
181	2
182	0
183	2
184	3
185	2
186	1
187	2
188	0
189	2
190	1
191	4
192	3
193	0
194	0
195	0
196	0
197	2
198	0
199	0
200	0
201	1
202	0
203	4
204	0
205	0
206	0
207	3
208	0
209	0
210	1
211	0
212	0
213	0
214	1
215	2
216	0
217	0
218	3
219	0
220	1
221	0
222	0
223	1
224	0
225	0
226	0
227	1
228	2
229	0
230	1
231	1
232	1
233	0
234	0
235	0
236	3
237	0
238	1
239	1
240	2
241	1
242	0
243	1
244	1
245	0
246	0
247	1
248	0
249	0
250	3
251	0
252	0
253	0
254	0
255	2
256	0
257	2
258	0
259	0
260	0
261	2
262	1
263	4
264	2
265	1
266	4
267	1
268	1
269	3
270	1
271	2
272	2
273	2
274	1
275	2
276	1
277	1
278	0
279	1
280	0
281	2
282	1
283	1
