Time/s	Counts
0	2
1	1
2	0
3	2
4	1
5	2
6	0
7	1
8	1
9	3
10	1
11	3
12	1
13	0
14	2
15	1
16	3
17	3
18	1
19	1
20	2
21	1
22	1
23	1
24	4
25	1
26	0
27	1
28	3
29	3
30	3
31	0
32	1
33	4
34	0
35	3
36	4
37	1
38	0
39	2
40	2
41	4
42	4
43	2
44	1
45	4
46	1
47	0
48	0
49	2
50	1
51	3
52	2
53	3
54	1
55	0
56	2
57	0
58	0
59	1
60	3
61	2
62	4
63	2
64	2
65	4
66	2
67	3
68	0
69	2
70	2
71	3
72	0
73	0
74	0
75	0
76	2
77	2
78	6
79	2
80	2
81	2
82	2
83	0
84	2
85	2
86	0
87	2
88	0
89	0
90	3
91	2
92	0
93	4
94	1
95	2
96	2
97	6
98	1
99	3
100	0
101	0
102	2
103	1
104	1
105	3
106	1
107	0
108	1
109	2
110	1
111	3
112	0
113	0
114	2
115	1
116	1
117	2
118	0
119	2
120	2
121	4
122	3
123	0
124	1
125	6
126	3
127	2
128	0
129	3
130	2
131	3
132	3
133	1
134	2
135	6
136	1
137	0
138	4
139	0
140	0
141	3
142	2
143	1
144	2
145	2
146	1
147	0
148	1
149	3
150	2
151	5
152	4
153	1
154	0
155	0
156	0
157	1
158	0
159	2
160	2
161	0
162	3
163	2
164	1
165	1
166	2
167	0
168	3
169	2
170	2
171	3
172	4
173	0
174	2
175	2
176	1
177	6
178	2
179	2
180	6
181	1
182	1
183	2
184	2
185	0
186	6
187	0
188	0
189	2
190	4
191	1
192	1
193	1
194	2
195	1
196	2
197	1
198	1
199	5
200	1
201	0
202	1
203	1
204	2
205	3
206	3
207	1
208	4
209	2
210	2
211	3
212	2
213	1
214	0
215	0
216	0
217	2
218	0
219	0
220	1
221	1
222	1
223	2
224	0
225	0
226	3
227	4
228	0
229	1
230	3
231	5
232	2
233	1
234	0
235	1
236	6
237	0
238	1
239	1
240	3
241	2
242	0
243	1
244	0
245	2
246	3
247	4
248	0
249	2
250	2
251	2
252	2
253	1
254	2
255	1
256	3
257	1
258	0
259	2
260	2
261	1
262	3
263	0
264	3
265	2
266	3
267	1
268	3
269	0
270	3
271	3
272	2
273	1
274	1
275	0
276	1
277	1
278	2
279	1
280	0
281	2
282	3
283	2
284	0
285	2
286	1
287	4
288	4
289	3
290	4
291	4
292	1
293	2
294	8
295	1
296	1
297	2
298	0
299	1
300	0
301	2
302	2
303	2
304	1
305	2
306	1
307	1
308	3
309	6
310	0
311	1
312	3
313	3
314	3
315	0
316	1
317	4
318	2
319	1
320	0
321	0
322	0
323	0
324	2
325	3
326	0
327	2
328	2
329	0
330	0
331	4
332	2
333	0
334	3
335	0
336	4
337	1
338	0
339	4
340	1
341	0
342	2
343	2
344	0
345	4
346	2
347	0
348	3
349	2
350	2
351	3
352	5
353	3
354	0
355	0
356	8
357	3
358	1
359	2
360	2
361	2
362	1
363	1
364	0
365	3
366	0
367	2
368	2
369	1
370	0
371	2
372	1
373	5
374	1
375	0
376	2
377	2
378	1
379	0
380	0
381	1
382	1
383	1
384	1
385	2
386	1
387	2
388	2
389	3
390	2
391	1
392	3
393	3
394	2
395	2
396	3
397	1
398	2
399	0
400	3
401	0
402	2
403	2
404	1
405	1
406	2
407	0
408	0
409	0
410	2
411	3
412	0
413	0
414	1
415	2
416	2
417	0
418	1
419	0
420	1
421	4
422	0
423	0
424	1
425	1
426	2
427	2
428	1
429	1
430	1
431	2
432	4
433	1
434	1
435	2
436	4
437	1
438	6
439	1
440	2
441	4
442	1
443	1
444	1
445	3
446	6
447	4
448	1
449	2
450	1
451	3
452	3
453	1
454	1
455	0
456	1
457	0
458	1
459	1
460	2
461	1
462	1
463	0
464	3
465	0
466	2
467	1
468	1
469	4
470	1
471	0
472	2
473	0
474	0
475	3
476	3
477	1
478	0
479	3
480	2
481	1
482	1
483	0
484	0
485	0
486	5
487	2
488	1
489	1
490	5
491	0
492	4
493	3
494	0
495	2
496	0
497	1
498	3
499	1
500	5
501	3
502	2
503	3
504	0
505	4
506	0
507	2
508	3
509	5
510	0
511	1
512	2
513	1
514	2
515	3
516	0
517	3
518	0
519	2
520	2
521	8
522	1
523	2
524	2
525	1
526	5
527	0
528	4
529	0
530	3
531	2
532	0
533	1
534	2
535	2
536	1
537	0
538	3
539	3
540	0
541	5
542	4
543	4
544	5
545	2
546	1
547	1
548	5
549	1
550	0
551	4
552	2
553	0
554	2
555	0
556	5
557	1
558	2
559	3
560	2
561	0
562	1
563	0
564	0
565	4
566	0
567	0
568	3
569	2
570	1
571	3
572	3
573	1
574	1
575	1
576	1
577	3
578	3
579	5
580	1
581	3
582	3
583	4
584	0
585	0
586	7
587	2
588	3
589	2
590	2
591	1
592	2
593	0
594	0
595	1
596	2
597	1
598	2
599	4
600	1
601	1
602	2
603	3
604	1
605	3
606	5
607	0
608	2
609	0
610	1
611	0
612	0
613	1
614	1
615	3
616	0
617	2
618	0
619	0
620	1
621	2
622	1
623	1
624	5
625	1
626	2
627	3
628	0
629	1
630	2
631	2
632	2
633	3
634	0
635	1
636	0
637	1
638	0
639	2
640	1
641	3
642	0
643	0
644	3
645	1
646	1
647	2
648	0
649	2
